Almacén;Planta;Zona ;Bloque;Columna;Nivel;Ubicación;Alto ub. (cm);Fondo ub. (cm);Comentario
1;1;A;1;1;0;A01 01 0;95;120;
1;1;A;1;1;1;A01 01 1;95;120;
1;1;A;1;1;2;A01 01 2;150;120;
1;1;A;1;1;3;A01 01 3;180;120;
1;1;A;1;2;0;A01 02 0;95;120;
1;1;A;1;2;1;A01 02 1;95;120;
1;1;A;1;2;2;A01 02 2;150;120;
1;1;A;1;2;3;A01 02 3;145;120;Interferencias con vigas - palets de altura 1,45m
1;1;A;1;3;0;A01 03 0;95;120;
1;1;A;1;3;1;A01 03 1;95;120;
1;1;A;1;3;2;A01 03 2;150;120;
1;1;A;1;3;3;A01 03 3;180;120;
1;1;A;1;4;0;A01 04 0;95;120;
1;1;A;1;4;1;A01 04 1;95;120;
1;1;A;1;4;2;A01 04 2;150;120;
1;1;A;1;4;3;A01 04 3;180;120;
1;1;A;1;5;0;A01 05 0;95;120;
1;1;A;1;5;1;A01 05 1;95;120;
1;1;A;1;5;2;A01 05 2;150;120;
1;1;A;1;5;3;A01 05 3;180;120;
1;1;A;1;6;0;A01 06 0;95;120;
1;1;A;1;6;1;A01 06 1;95;120;
1;1;A;1;6;2;A01 06 2;150;120;
1;1;A;1;6;3;A01 06 3;180;120;
1;1;A;1;7;0;A01 07 0;95;120;
1;1;A;1;7;1;A01 07 1;95;120;
1;1;A;1;7;2;A01 07 2;150;120;
1;1;A;1;7;3;A01 07 3;180;120;
1;1;A;1;8;0;A01 08 0;95;120;
1;1;A;1;8;1;A01 08 1;95;120;
1;1;A;1;8;2;A01 08 2;150;120;
1;1;A;1;8;3;A01 08 3;180;120;
1;1;A;1;9;0;A01 09 0;95;120;
1;1;A;1;9;1;A01 09 1;95;120;
1;1;A;1;9;2;A01 09 2;150;120;
1;1;A;1;9;3;A01 09 3;145;120;Interferencias con vigas - palets de altura 1,45m
1;1;A;1;10;0;A01 10 0;95;120;
1;1;A;1;10;1;A01 10 1;95;120;
1;1;A;1;10;2;A01 10 2;150;120;
1;1;A;1;10;3;A01 10 3;180;120;
1;1;A;1;11;0;A01 11 0;95;120;
1;1;A;1;11;1;A01 11 1;95;120;
1;1;A;1;11;2;A01 11 2;150;120;
1;1;A;1;11;3;A01 11 3;180;120;
1;1;A;1;12;0;A01 12 0;95;120;
1;1;A;1;12;1;A01 12 1;95;120;
1;1;A;1;12;2;A01 12 2;150;120;
1;1;A;1;12;3;A01 12 3;180;120;
1;1;A;1;13;0;A01 13 0;95;120;
1;1;A;1;13;1;A01 13 1;95;120;
1;1;A;1;13;2;A01 13 2;150;120;
1;1;A;1;13;3;A01 13 3;180;120;
1;1;A;1;14;0;A01 14 0;95;120;
1;1;A;1;14;1;A01 14 1;95;120;
1;1;A;1;14;2;A01 14 2;150;120;
1;1;A;1;14;3;A01 14 3;180;120;
1;1;A;1;15;0;A01 15 0;95;120;
1;1;A;1;15;1;A01 15 1;95;120;
1;1;A;1;15;2;A01 15 2;150;120;
1;1;A;1;15;3;A01 15 3;180;120;
1;1;A;1;16;0;A01 16 0;95;120;
1;1;A;1;16;1;A01 16 1;95;120;
1;1;A;1;16;2;A01 16 2;150;120;
1;1;A;1;16;3;A01 16 3;145;120;Interferencias con vigas - palets de altura 1,45m
1;1;A;1;17;0;A01 17 0;95;120;
1;1;A;1;17;1;A01 17 1;95;120;
1;1;A;1;17;2;A01 17 2;150;120;
1;1;A;1;17;3;A01 17 3;180;120;
1;1;A;1;18;0;A01 18 0;95;120;
1;1;A;1;18;1;A01 18 1;95;120;
1;1;A;1;18;2;A01 18 2;150;120;
1;1;A;1;18;3;A01 18 3;180;120;
1;1;A;1;19;0;A01 19 0;95;120;
1;1;A;1;19;1;A01 19 1;95;120;
1;1;A;1;19;2;A01 19 2;150;120;
1;1;A;1;19;3;A01 19 3;180;120;
1;1;A;1;20;0;A01 20 0;95;120;
1;1;A;1;20;1;A01 20 1;95;120;
1;1;A;1;20;2;A01 20 2;150;120;
1;1;A;1;20;3;A01 20 3;180;120;
1;1;A;1;21;0;A01 21 0;95;120;
1;1;A;1;21;1;A01 21 1;95;120;
1;1;A;1;21;2;A01 21 2;150;120;
1;1;A;1;21;3;A01 21 3;180;120;
1;1;A;1;22;0;A01 22 0;95;120;
1;1;A;1;22;1;A01 22 1;95;120;
1;1;A;1;22;2;A01 22 2;150;120;
1;1;A;1;22;3;A01 22 3;180;120;
1;1;A;1;23;0;A01 23 0;95;120;
1;1;A;1;23;1;A01 23 1;95;120;
1;1;A;1;23;2;A01 23 2;150;120;
1;1;A;1;23;3;A01 23 3;145;120;Interferencias con vigas - palets de altura 1,45m
1;1;A;1;24;0;A01 24 0;95;120;
1;1;A;1;24;1;A01 24 1;95;120;
1;1;A;1;24;2;A01 24 2;150;120;
1;1;A;1;24;3;A01 24 3;180;120;
1;1;A;1;25;0;A01 25 0;95;120;
1;1;A;1;25;1;A01 25 1;95;120;
1;1;A;1;25;2;A01 25 2;150;120;
1;1;A;1;25;3;A01 25 3;180;120;
1;1;A;1;26;0;A01 26 0;95;120;
1;1;A;1;26;1;A01 26 1;95;120;
1;1;A;1;26;2;A01 26 2;150;120;
1;1;A;1;26;3;A01 26 3;180;120;
1;1;A;1;27;0;A01 27 0;95;120;
1;1;A;1;27;1;A01 27 1;95;120;
1;1;A;1;27;2;A01 27 2;150;120;
1;1;A;1;27;3;A01 27 3;180;120;
1;1;A;1;28;0;A01 28 0;95;120;
1;1;A;1;28;1;A01 28 1;95;120;
1;1;A;1;28;2;A01 28 2;150;120;
1;1;A;1;28;3;A01 28 3;180;120;
1;1;A;1;29;0;A01 29 0;95;120;
1;1;A;1;29;1;A01 29 1;95;120;
1;1;A;1;29;2;A01 29 2;150;120;
1;1;A;1;29;3;A01 29 3;180;120;
1;1;A;1;30;0;A01 30 0;95;120;
1;1;A;1;30;1;A01 30 1;95;120;
1;1;A;1;30;2;A01 30 2;150;120;
1;1;A;1;30;3;A01 30 3;145;120;Interferencias con vigas - palets de altura 1,45m
1;1;A;1;31;0;A01 31 0;95;120;
1;1;A;1;31;1;A01 31 1;95;120;
1;1;A;1;31;2;A01 31 2;150;120;
1;1;A;1;31;3;A01 31 3;180;120;
1;1;A;1;32;0;A01 32 0;95;120;
1;1;A;1;32;1;A01 32 1;95;120;
1;1;A;1;32;2;A01 32 2;150;120;
1;1;A;1;32;3;A01 32 3;180;120;
1;1;A;1;33;0;A01 33 0;95;120;
1;1;A;1;33;1;A01 33 1;95;120;
1;1;A;1;33;2;A01 33 2;150;120;
1;1;A;1;33;3;A01 33 3;180;120;
1;1;A;1;34;0;A01 34 0;95;120;
1;1;A;1;34;1;A01 34 1;95;120;
1;1;A;1;34;2;A01 34 2;150;120;
1;1;A;1;34;3;A01 34 3;180;120;
1;1;A;1;35;0;A01 35 0;95;120;
1;1;A;1;35;1;A01 35 1;95;120;
1;1;A;1;35;2;A01 35 2;150;120;
1;1;A;1;35;3;A01 35 3;180;120;
1;1;A;2;1;0;A02 01 0;95;120;
1;1;A;2;1;1;A02 01 1;95;120;
1;1;A;2;1;2;A02 01 2;150;120;
1;1;A;2;1;3;A02 01 3;180;120;
1;1;A;2;2;0;A02 02 0;95;120;
1;1;A;2;2;1;A02 02 1;95;120;
1;1;A;2;2;2;A02 02 2;150;120;
1;1;A;2;2;3;A02 02 3;145;120;Interferencias con vigas - palets de altura 1,45m
1;1;A;2;3;0;A02 03 0;95;120;
1;1;A;2;3;1;A02 03 1;95;120;
1;1;A;2;3;2;A02 03 2;150;120;
1;1;A;2;3;3;A02 03 3;180;120;
1;1;A;2;4;0;A02 04 0;95;120;
1;1;A;2;4;1;A02 04 1;95;120;
1;1;A;2;4;2;A02 04 2;150;120;
1;1;A;2;4;3;A02 04 3;180;120;
1;1;A;2;5;0;A02 05 0;95;120;
1;1;A;2;5;1;A02 05 1;95;120;
1;1;A;2;5;2;A02 05 2;150;120;
1;1;A;2;5;3;A02 05 3;180;120;
1;1;A;2;6;0;A02 06 0;95;120;
1;1;A;2;6;1;A02 06 1;95;120;
1;1;A;2;6;2;A02 06 2;150;120;
1;1;A;2;6;3;A02 06 3;180;120;
1;1;A;2;7;0;A02 07 0;95;120;
1;1;A;2;7;1;A02 07 1;95;120;
1;1;A;2;7;2;A02 07 2;150;120;
1;1;A;2;7;3;A02 07 3;180;120;
1;1;A;2;8;0;A02 08 0;95;120;
1;1;A;2;8;1;A02 08 1;95;120;
1;1;A;2;8;2;A02 08 2;150;120;
1;1;A;2;8;3;A02 08 3;180;120;
1;1;A;2;9;0;A02 09 0;95;120;
1;1;A;2;9;1;A02 09 1;95;120;
1;1;A;2;9;2;A02 09 2;150;120;
1;1;A;2;9;3;A02 09 3;145;120;Interferencias con vigas - palets de altura 1,45m
1;1;A;2;10;0;A02 10 0;95;120;
1;1;A;2;10;1;A02 10 1;95;120;
1;1;A;2;10;2;A02 10 2;150;120;
1;1;A;2;10;3;A02 10 3;180;120;
1;1;A;2;11;0;A02 11 0;95;120;
1;1;A;2;11;1;A02 11 1;95;120;
1;1;A;2;11;2;A02 11 2;150;120;
1;1;A;2;11;3;A02 11 3;180;120;
1;1;A;2;12;0;A02 12 0;95;120;
1;1;A;2;12;1;A02 12 1;95;120;
1;1;A;2;12;2;A02 12 2;150;120;
1;1;A;2;12;3;A02 12 3;180;120;
1;1;A;2;13;0;A02 13 0;95;120;
1;1;A;2;13;1;A02 13 1;95;120;
1;1;A;2;13;2;A02 13 2;150;120;
1;1;A;2;13;3;A02 13 3;180;120;
1;1;A;2;14;0;A02 14 0;95;120;
1;1;A;2;14;1;A02 14 1;95;120;
1;1;A;2;14;2;A02 14 2;150;120;
1;1;A;2;14;3;A02 14 3;180;120;
1;1;A;2;15;0;A02 15 0;95;120;
1;1;A;2;15;1;A02 15 1;95;120;
1;1;A;2;15;2;A02 15 2;150;120;
1;1;A;2;15;3;A02 15 3;180;120;
1;1;A;2;16;0;A02 16 0;95;120;
1;1;A;2;16;1;A02 16 1;95;120;
1;1;A;2;16;2;A02 16 2;150;120;
1;1;A;2;16;3;A02 16 3;145;120;Interferencias con vigas - palets de altura 1,45m
1;1;A;2;17;0;A02 17 0;95;120;
1;1;A;2;17;1;A02 17 1;95;120;
1;1;A;2;17;2;A02 17 2;150;120;
1;1;A;2;17;3;A02 17 3;180;120;
1;1;A;2;18;0;A02 18 0;95;120;
1;1;A;2;18;1;A02 18 1;95;120;
1;1;A;2;18;2;A02 18 2;150;120;
1;1;A;2;18;3;A02 18 3;180;120;
1;1;A;2;19;0;A02 19 0;95;120;
1;1;A;2;19;1;A02 19 1;95;120;
1;1;A;2;19;2;A02 19 2;150;120;
1;1;A;2;19;3;A02 19 3;180;120;
1;1;A;2;20;0;A02 20 0;95;120;
1;1;A;2;20;1;A02 20 1;95;120;
1;1;A;2;20;2;A02 20 2;150;120;
1;1;A;2;20;3;A02 20 3;180;120;
1;1;A;2;21;0;A02 21 0;95;120;
1;1;A;2;21;1;A02 21 1;95;120;
1;1;A;2;21;2;A02 21 2;150;120;
1;1;A;2;21;3;A02 21 3;180;120;
1;1;A;2;22;0;A02 22 0;95;120;
1;1;A;2;22;1;A02 22 1;95;120;
1;1;A;2;22;2;A02 22 2;150;120;
1;1;A;2;22;3;A02 22 3;180;120;
1;1;A;2;23;0;A02 23 0;95;120;
1;1;A;2;23;1;A02 23 1;95;120;
1;1;A;2;23;2;A02 23 2;150;120;
1;1;A;2;23;3;A02 23 3;145;120;Interferencias con vigas - palets de altura 1,45m
